,entity,to_search,snippet,address,coordinates,name_location,class,type
0,River Liffey,River Liffey,"['...On a bay at the mouth of the River Liffey, it is in the province of Leinster, bordered on the south by the Dublin Mountains, a part of the Wicklow Mountains range....', '...Áth Cliath is a place name referring to a fording point of the River Liffey near Father Mathew Bridge....', '...Dublin is situated at the mouth of the River Liffey and encompasses a land area of approximately 117.8 square kilometres (45.5\xa0sq\xa0mi) in east-central Ireland....', '...The River Liffey divides the city in two, between the Northside and the Southside....', '...A north–south division once, to some extent, traditionally existed, with the River Liffey as the divider....', ""...The Ha'penny Bridge, an iron footbridge over the River Liffey, is one of the most photographed sights in Dublin and is considered to be one of Dublin's most iconic landmarks...."", '...The Phoenix Park is about 3\xa0km (2 miles) west of the city centre, north of the River Liffey....', '...The best known area for nightlife is Temple Bar, south of the River Liffey....', '*...This tidal pool was located where the River Poddle entered the Liffey, on the site of the castle gardens at the rear of Dublin Castle....', '*...The subsequent Scandinavian settlement centred on the River Poddle, a tributary of the Liffey in an area now known as Wood Quay....', '*...The Liffey bends at Leixlip from a northeasterly route to a predominantly eastward direction, and this point also marks the transition to urban development from more agricultural land usage....', '*...The city itself was founded where the River Poddle met the Liffey, and the early Viking settlement was also facilitated by the small Stein or Steyne River, the larger Camac and the Bradogue, in particular....', '*...Two secondary rivers further divide the city: the River Tolka, running southeast into Dublin Bay, and the River Dodder running northeast to near the mouth of the Liffey, and these and the Liffey have multiple tributaries....', '...Suburban Dublin has several modern retail centres, including Dundrum Town Centre, Blanchardstown Centre, the Square in Tallaght, Liffey Valley Shopping Centre in Clondalkin, Omni Shopping Centre in Santry, Nutgrove Shopping Centre in Rathfarnham, Northside Shopping Centre in Coolock and Swords Pavilions in Swords....', '...There are also numerous community and special interest stations, including Dublin City FM (103.2\xa0MHz), Dublin South FM (93.9\xa0MHz), Liffey Sound FM (96.4\xa0MHz), Near FM (90.3\xa0MHz), and Raidió Na Life (106.4\xa0MHz).\nCroke Park is the largest sport stadium in Ireland....']","Liffey River Cruises, Bachelors Walk, North City ED, Dublin, County Dublin, Leinster, D01 C953, Ireland","{""coordinates"": [-6.261553, 53.346837], ""type"": ""Point""}","Liffey River Cruises, Bachelors Walk, North City ED, Dublin, County Dublin, Leinster, D01 C953, Ireland",man_made,pier
1,Dublin Mountains,Dublin Mountains,"['...On a bay at the mouth of the River Liffey, it is in the province of Leinster, bordered on the south by the Dublin Mountains, a part of the Wicklow Mountains range....', '...It is bordered by the Dublin Mountains, a low mountain range and sub range of the Wicklow Mountains, to the south and surrounded by flat farmland to the north and west....']","Dublin Mountains Way, Tiknock, Glencullen ED, Dún Laoghaire-Rathdown, Dublin 18, Leinster, D18 PF72, Ireland","{""coordinates"": [-6.238965, 53.247273], ""type"": ""Point""}","Dublin Mountains Way, Tiknock, Glencullen ED, Dún Laoghaire-Rathdown, Dublin 18, Leinster, D18 PF72, Ireland",highway,track
2,Wicklow Mountains,Wicklow Mountains,"['*...On a bay at the mouth of the River Liffey, it is in the province of Leinster, bordered on the south by the Dublin Mountains, a part of the Wicklow Mountains range....', '...It is bordered by the Dublin Mountains, a low mountain range and sub range of the Wicklow Mountains, to the south and surrounded by flat farmland to the north and west....']","Wicklow Way, Ballybrack, Glencullen ED, Dún Laoghaire-Rathdown, Dublin 18, Leinster, D18 C8W7, Ireland","{""coordinates"": [-6.261709, 53.236596], ""type"": ""Point""}","Wicklow Way, Ballybrack, Glencullen ED, Dún Laoghaire-Rathdown, Dublin 18, Leinster, D18 C8W7, Ireland",highway,path
6,Dublin Castle,Dublin Castle,"['*...This tidal pool was located where the River Poddle entered the Liffey, on the site of the castle gardens at the rear of Dublin Castle....', '*...The Dubhlinn lay where the Castle Garden is now located, opposite the Chester Beatty Library within Dublin Castle....', '*...Dublin Castle, which became the centre of Anglo-Norman power in Ireland, was founded in 1204 as a major defensive work on the orders of King John of England....', ""*...These include the Medieval Quarter (in the area of Dublin Castle, Christ Church and St Patrick's Cathedral and the old city walls), the Georgian Quarter (including the area around St Stephen's Green, Trinity College, and Merrion Square), the Docklands Quarter (around the Dublin Docklands and Silicon Docks), the Cultural Quarter (around Temple Bar), and Creative Quarter (between South William Street and George's Street)...."", ""*...One of the oldest is Dublin Castle, which was first founded as a major defensive work on the orders of England's King John in 1204, shortly after the Norman invasion of Ireland in 1169, when it was commanded that a castle be built with strong walls and good ditches for the defence of the city, the administration of justice, and the protection of the King's treasure....""]","Dublin Castle Gift Shop, Palace Street, Royal Exchange A Ward 1986, Dublin, County Dublin, Leinster, D02 DX00, Ireland","{""coordinates"": [-6.266351, 53.343761], ""type"": ""Point""}","Dublin Castle Gift Shop, Palace Street, Royal Exchange A Ward 1986, Dublin, County Dublin, Leinster, D02 DX00, Ireland",shop,gift
10,Father Mathew Bridge,Father Mathew Bridge,"['*...The Viking settlement of about 841, Dyflin, and a Gaelic settlement, Áth Cliath (""ford of hurdles"") further up the river, at the present-day Father Mathew Bridge (also known as Dublin Bridge), at the bottom of Church Street....', '*...Áth Cliath is a place name referring to a fording point of the River Liffey near Father Mathew Bridge....']","Father Mathew Bridge, Ins Quay C Ward 1986, Dublin, Dublin 7, Leinster, D07 HK38, Ireland","{""coordinates"": [-6.275749, 53.345537], ""type"": ""Point""}","Father Mathew Bridge, Ins Quay C Ward 1986, Dublin, Dublin 7, Leinster, D07 HK38, Ireland",highway,secondary
11,Dublin Bridge,Dublin Bridge,"['*...The Viking settlement of about 841, Dyflin, and a Gaelic settlement, Áth Cliath (""ford of hurdles"") further up the river, at the present-day Father Mathew Bridge (also known as Dublin Bridge), at the bottom of Church Street....']","Father Mathew Bridge, Ins Quay C Ward 1986, Dublin, Dublin 7, Leinster, D07 HK38, Ireland","{""coordinates"": [-6.275749, 53.345537], ""type"": ""Point""}","Father Mathew Bridge, Ins Quay C Ward 1986, Dublin, Dublin 7, Leinster, D07 HK38, Ireland",highway,secondary
12,Church Street,Church Street,"['*...The Viking settlement of about 841, Dyflin, and a Gaelic settlement, Áth Cliath (""ford of hurdles"") further up the river, at the present-day Father Mathew Bridge (also known as Dublin Bridge), at the bottom of Church Street....']","Church Street, Ins Quay C Ward 1986, Dublin, Dublin 7, Leinster, D07 E128, Ireland","{""coordinates"": [-6.274712, 53.349191], ""type"": ""Point""}","Church Street, Ins Quay C Ward 1986, Dublin, Dublin 7, Leinster, D07 E128, Ireland",highway,secondary
13,Baile Átha Cliath,Baile Átha Cliath,"['...Dublin (; Irish: Baile Átha Cliath, pronounced\xa0 or ) is the capital and largest city of Ireland....', '...Baile Átha Cliath, meaning ""town of the hurdled ford"", is the common name for the city in modern Irish....', '*...Baile Átha Cliath was an early Christian monastery, believed to have been in the area of Aungier Street, currently occupied by Whitefriar Street Carmelite Church....', '*...These are contracted versions of Baile Átha Cliath....']","Dublin Connolly, Sheriff Street Lower, North Dock C ED, Dublin, County Dublin, Leinster, D01 V6V6, Ireland","{""coordinates"": [-6.248931, 53.351697], ""type"": ""Point""}","Dublin Connolly, Sheriff Street Lower, North Dock C ED, Dublin, County Dublin, Leinster, D01 V6V6, Ireland",railway,stop
14,Aungier Street,Aungier Street,"['*...Baile Átha Cliath was an early Christian monastery, believed to have been in the area of Aungier Street, currently occupied by Whitefriar Street Carmelite Church....', ""*...While some medieval streets and layouts (including the areas around Temple Bar, Aungier Street, Capel Street and Thomas Street) were less affected by the wave of Georgian reconstruction, much of Dublin's architecture and layout dates from this period...."", ""*...Dublin Business School (DBS) is Ireland's largest private third level institution with over 9,000 students located on Aungier Street, and Griffith College Dublin has its main facility in Portobello....""]","Aungier Street, Royal Exchange B Ward 1986, Dublin, Dublin 2, Leinster, D02 WN47, Ireland","{""coordinates"": [-6.265614, 53.340671], ""type"": ""Point""}","Aungier Street, Royal Exchange B Ward 1986, Dublin, Dublin 2, Leinster, D02 WN47, Ireland",highway,secondary
16,Dublin Bay,Dublin Bay,"[""*...The area of Dublin Bay has been inhabited by humans since prehistoric times, fish traps discovered from excavations during the construction of the Convention Centre Dublin indicate human habitation as far back as 6,000 years ago while further traps were also discovered closer to the old settlement of the city of Dublin on the south quays near St. James's Gate which also indicate mesolithic human activity...."", '...For elections to Dáil Éireann, there are five constituencies that are wholly or predominantly in the Dublin City area: Dublin Central (4 seats), Dublin Bay North (5 seats), Dublin North-West (3 seats), Dublin South-Central (4 seats) and Dublin Bay South (4 seats)....', '*...Two secondary rivers further divide the city: the River Tolka, running southeast into Dublin Bay, and the River Dodder running northeast to near the mouth of the Liffey, and these and the Liffey have multiple tributaries....']","Schematic map of Dublin Bay skyline, Strand Road, Sandymount, Pembroke East C ED, Dublin, County Dublin, Leinster, D04 H668, Ireland","{""coordinates"": [-6.208051, 53.32713], ""type"": ""Point""}","Schematic map of Dublin Bay skyline, Strand Road, Sandymount, Pembroke East C ED, Dublin, County Dublin, Leinster, D04 H668, Ireland",tourism,information
