,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Po,Po Torino,"[""*...Alcuni palazzi e zone facenti parte del circuito di residenze sabaude in Piemonte (patrimonio dell'umanità) e l'area delle colline del Po (riserva della biosfera)...."", ""*...Torino sorge nella pianura delimitata dai fiumi Stura di Lanzo, Sangone e Po (quest'ultimo attraversa la città da sud verso nord), di fronte allo sbocco di alcune vallate alpine:..."", '*...Il fiume Po accentua la divisione tra la parte collinare e quella, quasi pianeggiante, della città, collocata tra i 220 e i 280 metri s.l.m....', ""*...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana...."", ""...Il 19 marzo 2016 l'UNESCO ha riconosciuto il Parco del Po e la collina torinese come riserva della biosfera, mentre nel 2020 la FAO e l'Arbor Day Foundation hanno conferito alla città di Torino il riconoscimento di Tree City of the World 2019...."", ""...Prendendo in esame i dati rilevati dall'Ufficio Idrografico del Po (presso Porta Susa), nel il periodo 1961-1990, si evince che, in città, la temperatura media annua è stata di 12,3\xa0°C, con la minima, a gennaio, di 0,9\xa0°C...."", ""...Di seguito è riportata la media trentennale di riferimento (1961-1990) rilevata dall'Ufficio Idrografico del Po...."", ""*...Il 19 aprile 1801 Jourdan soppresse tutte le istituzioni governative e divenne Amministratore generale del Piemonte, assistito da un Consiglio di sei membri piemontesi e infine, dopo l'abdicazione di Carlo Emanuele IV di Savoia, il 21 settembre 1802 i sei dipartimenti in cui era stato diviso il Piemonte (Torino apparteneva al dipartimento del Po e inoltre a essa faceva capo uno dei tre circondari in cui era diviso il dipartimento stesso) furono raggruppati in una regione francese denominata Au delà des Alpes, della quale Torino divenne il capoluogo e tale rimase fino alla Restaurazione...."", ""...Le importanti testimonianze architettoniche di quest'epoca sono ancora percepibili in alcune zone centrali del capoluogo come i quartieri Centro, Crocetta, San Salvario e Borgo Po, ma con un'assoluta predominanza nell'area circostante il primo tratto di Corso Francia, comprendente i quartieri Cit Turin e San Donato...."", ""*...Il portico che unisce piazza Castello con Piazza Vittorio Veneto attraverso via Po sul lato sinistro fu progettato in modo tale da proseguire anche nell'attraversamento delle vie per permettere al re di giungere fino al Po senza bagnarsi in caso di pioggia...."", '*...Torino ospita anche alberi esotici secolari come le sequoie costali (Sequoia sempervirens) dei parchi collinari di Villa Genero e Giacomo Leopardi, i numerosi esemplari di Noce del Caucaso (Pterocarya\xa0fraxinifolia) che costeggiano il Po e compaiono in parchi pubblici come i Giardini Cavour, il Giardino Sambuy, i Giardini Reali Bassi (lungo Corso San Maurizio), il Parco Millefonti....', '*...Importanti sono poi dal punto di vista storico il Museo nazionale del Risorgimento italiano, presso Palazzo Carignano, e il Museo nazionale della montagna, presso il Monte dei Cappuccini, sulla riva destra del Po....', '*...Anche se nel gioco la città è ben diversa dalla realtà, sono comunque presenti il tram numero 13, il Po e molti edifici storici realmente esistenti....', '...Proprio nel capoluogo piemontese, nel marzo 1896, gli inventori del cinematografo esibirono la prima proiezione di un film in Italia ed in via Po, a novembre, la prima davanti ad un pubblico pagante....', '...Circoscrizione VIII: San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia ....', ""Il Po (AFI: /ˈpɔ/) è un fiume dell'Italia settentrionale. La sua lunghezza, 652 km, lo rende il più lungo fiume interamente compreso nel territorio italiano, quello con il bacino idrografico più esteso (circa 71 000 km²) e anche quello con la massima portata alla foce, sia essa minima (assoluta 270 m³/s), media (1 540 m³/s) o massima (13 000 m³/s), oltre ad essere il quinto fiume europeo (esclusa la Russia) per portata media (dopo: Danubio, Reno, Rodano e Nipro).\nHa origine in Piemonte, più specificamente sul Monviso, al Pian del Re, bagna direttamente tre capoluoghi (Torino, Piacenza, Cremona) e ne lambisce un quarto (Ferrara), segnando inoltre per lunghi tratti il confine tra Lombardia e Emilia-Romagna, nonché tra quest'ultima e il Veneto, prima di sfociare nel mare Adriatico in un vasto delta con sei rami. Attraversa 13 province (Cuneo, Torino, Vercelli, Alessandria, Pavia, Lodi, Cremona, Mantova, Piacenza, Parma, Reggio Emilia, Ferrara e Rovigo). Per la maggior parte del suo corso il Po scorre su un territorio pianeggiante al quale dà il nome, la Pianura Padana. Per la posizione geografica, la lunghezza, il bacino e gli eventi storici, sociali ed economici che hanno riguardato il fiume sin dall'antichità, il Po è riconosciuto come il più importante tra i fiumi d'Italia.""]","Po, Via Gioachino Rossini, Borgo Nuovo, Circoscrizione 1, Torino, Piemonte, 10123, Italia","{""coordinates"": [7.690586, 45.068718], ""type"": ""Point""}","Po, Via Gioachino Rossini, Borgo Nuovo, Circoscrizione 1, Torino, Piemonte, 10123, Italia",highway,bus_stop
1,Stura di Lanzo,Stura di Lanzo Torino,"[""*...Torino sorge nella pianura delimitata dai fiumi Stura di Lanzo, Sangone e Po (quest'ultimo attraversa la città da sud verso nord), di fronte allo sbocco di alcune vallate alpine:..."", ""La Stura di Lanzo (Stura 'd Lans in piemontese) è un torrente del Piemonte, affluente di sinistra del Po, lungo 68,8 km e con un bacino idrografico ampio 836 km².\nDal 1993 un lungo tratto dell'alveo della Stura e delle sue rive sono tutelati dalla Zona di salvaguardia della Stura di Lanzo, che si estende dallo sbocco del corso d'acqua sulla pianura fino ai comuni di Villanova Canavese e Nole.\nL'area fa parte inoltre del Sito di interesse comunitario Stura di Lanzo (cod. IT1110014).\n\n""]","Stura di Lanzo, Torino, Piemonte, 10074, Italia","{""coordinates"": [7.565176, 45.212368], ""type"": ""Point""}","Stura di Lanzo, Torino, Piemonte, 10074, Italia",waterway,river
2,Val di Susa,Val di Susa Torino,"['*...Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone....', ""La Val di Susa (Valsusa in piemontese) è una valle alpina situata nella parte occidentale del Piemonte, a ponente di Torino, confinante con la Francia a ovest: nonostante sia interamente appartenente al bacino idrografico del Po, e dunque alla regione geografica italiana, porzioni di alcune sue alte vallate laterali fanno politicamente parte della Repubblica francese in seguito ai trattati di pace del 1947 (circondario e colle del Moncenisio nel Dipartimento della Savoia; Valle Stretta, versante padano dei valichi della Scala e del Monginevro, vetta del monte Chaberton nel Dipartimento delle Alte Alpi).\nLunga 80 km e con oltre 90 000 abitanti, è la più estesa e popolata valle del Piemonte. Prende il nome dall'antica città di Susa, situata in posizione baricentrica, anche se il suo centro più grande oggi è Avigliana; si pronuncia Valsusa in piemontese, Val Susa in occitano, Vâl Susa in arpitano, Vallée de Suse in francese.\nNell'alta valle si trova il punto più occidentale d'Italia (vetta della Rocca Bernauda, nel comune di Bardonecchia, 45°06′15″N 6°37′32″E).""]","Val di Susa, Torino, Piemonte, 10050, Italia","{""coordinates"": [7.07696, 45.135021], ""type"": ""Point""}","Val di Susa, Torino, Piemonte, 10050, Italia",natural,valley
3,Valli di Lanzo,Valli di Lanzo Torino,"['*...Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone....', ""Le Valli di Lanzo (Valade 'd Lans in piemontese, Valàdes at Lans in francoprovenzale) sono tre valli delle Alpi Graie piemontesi, comprese tra la Valle dell'Orco a settentrione e la Val di Susa a meridione. Solcate da vari torrenti (in ogni valle chiamati Stura), che confluiscono nel fiume Stura di Lanzo, prendono il nome dalla cittadina di Lanzo Torinese, posta su un'antica morena glaciale al termine delle valli.""]","Valli di Lanzo, 11, Via Roma, Vana, Ceres, Unione Montana di Comuni delle Valli di Lanzo, Ceronda e Casternone, Torino, Piemonte, 10070, Italia","{""coordinates"": [7.388193, 45.314655], ""type"": ""Point""}","Valli di Lanzo, 11, Via Roma, Vana, Ceres, Unione Montana di Comuni delle Valli di Lanzo, Ceronda e Casternone, Torino, Piemonte, 10070, Italia",amenity,restaurant
4,Val Sangone,Val Sangone Torino,"['*...Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone....', 'La Val Sangone è una valle alpina della parte occidentale del Piemonte, in Provincia di Torino, tracciata dal percorso del torrente Sangone. Si estende per circa 25 km attraversando i comuni di Coazze, Valgioie, Giaveno, Trana, Reano, Sangano, Bruino e Rivalta; questi comuni (ad esclusione degli ultimi due) fanno parte della Comunità Montana Valle Susa e Val Sangone.\n\n']","Val Sangone, Coazze, Torino, Piemonte, 10094, Italia","{""coordinates"": [7.274615, 45.049963], ""type"": ""Point""}","Val Sangone, Coazze, Torino, Piemonte, 10094, Italia",natural,valley
5,Dora Riparia,Dora Riparia Torino,"[""...Oltre ai tre corsi d'acqua prima citati che ne incorniciano il territorio, abbiamo la Dora Riparia che taglia la città da ovest a est, scorrendo prossima al centro storico...."", 'La Dora Riparia (Dòira Rivaria in piemontese, Doire Ripaire in francese) è un fiume del Piemonte con un bacino ampio 1 340 km², affluente di sinistra del fiume Po. Il suo percorso si svolge quasi interamente nella Val di Susa nella città metropolitana di Torino.\n\n']","Dora Riparia, Via Sergio Allegri, Villaggio Dora, Collegno, Torino, Piemonte, 10093, Italia","{""coordinates"": [7.571124, 45.089097], ""type"": ""Point""}","Dora Riparia, Via Sergio Allegri, Villaggio Dora, Collegno, Torino, Piemonte, 10093, Italia",highway,bus_stop
6,Colle della Maddalena,Colle della Maddalena Torino,"['...Il punto più elevato del territorio comunale è il Colle della Maddalena, a 715\xa0m s.l.m....', '...Due spettacolari esemplari di carpino bianco (Carpinus betulus) arricchiscono il grande Parco della Rimembranza che si dispiega lungo il Colle della Maddalena....', ""Il Colle della Maddalena (Col de Larche in francese) è un valico alpino alto 1996 m s.l.m., che si si trova nelle Alpi Occidentali, tra Italia e Francia,  separando le Alpi Marittime dalle Alpi Cozie, unendo la valle Stura di Demonte (Italia) con la val d'Ubaye (Francia) e segnando il confine tra i due stati (a qualche centinaio di metri dal colle nel versante italiano vi è il lago della Maddalena).""]","Colle della Maddalena, Torino, Piemonte, 10131, Italia","{""coordinates"": [7.72165, 45.031147], ""type"": ""Point""}","Colle della Maddalena, Torino, Piemonte, 10131, Italia",natural,peak
7,Faro della Vittoria,Faro della Vittoria Torino,"['*..., nei pressi del Faro della Vittoria....', ""Il Faro della Vittoria, anche noto come Faro della Maddalena, è un monumento colossale dedicato alla Vittoria Alata, posto sulla sommità del parco della Rimembranza presso il Colle della Maddalena. L'ottica del faro è alloggiata nella fiaccola sorretta tra le mani dell'imponente statua in bronzo, opera dello scultore torinese Edoardo Rubino.""]","Faro della Vittoria, Strada esterna della Vetta della Maddalena, Circoscrizione 8, Revigliasco, Torino, Piemonte, 10024, Italia","{""coordinates"": [7.721651, 45.031158], ""type"": ""Point""}","Faro della Vittoria, Strada esterna della Vetta della Maddalena, Circoscrizione 8, Revigliasco, Torino, Piemonte, 10024, Italia",man_made,lighthouse
8,Monviso,Monviso Torino,"[""...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana...."", ""Il Monviso (Viso ['vizʊ] in piemontese, Vísol ['vizʊl] in occitano - 3.841 m s.l.m.) – detto anche Re di Pietra – è la montagna più alta delle Alpi Cozie e dell'omonimo gruppo montuoso, compreso nella sottosezione delle Alpi del Monviso, in Piemonte. Conosciuto anche perché ai suoi piedi (Pian del Re) si trova la sorgente del fiume Po, il corso d'acqua più lungo d'Italia, dal 29 maggio 2013 è diventato patrimonio dell'UNESCO come riserva della biosfera transfrontaliera con la Francia, inoltre dal 2016 esso fa parte del parco naturale del Monviso sul settore italiano, mentre su quello francese insiste il parco naturale del Queyras. Con una prominenza di 2.062 metri, la decima dell'intero arco alpino e la ventitreesima in tutta Europa, la montagna è ben visibile dalla Pianura Padana occidentale per via della sua forma piramidale e la sua altezza di oltre 500 metri superiore ai picchi circostanti.""]","Monviso, 19, Corso Eusebio Giambone, Lingotto, Circoscrizione 8, Torino, Piemonte, 10134, Italia","{""coordinates"": [7.648686, 45.032323], ""type"": ""Point""}","Monviso, 19, Corso Eusebio Giambone, Lingotto, Circoscrizione 8, Torino, Piemonte, 10134, Italia",amenity,pharmacy
9,Rocciamelone,Rocciamelone Torino,"[""...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana...."", ""Il Rocciamelone (Rociamlon [rʊʧam'lʊŋ] in piemontese, Rochemelon in francese) è una montagna delle Alpi Graie della Catena Rocciamelone-Charbonnel, alta 3.538 m s.l.m., situata in Piemonte, al confine tra la Valle di Susa e la Valle di Viù, sulla cui vetta convergono i territori comunali di Mompantero, Novalesa e Usseglio.""]","Rocciamelone, Revigliasco, Moncalieri, Torino, Piemonte, 10024, Italia","{""coordinates"": [7.719274, 45.012633], ""type"": ""Point""}","Rocciamelone, Revigliasco, Moncalieri, Torino, Piemonte, 10024, Italia",place,hamlet
10,Gran Paradiso,Gran Paradiso Torino,"[""*...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana...."", ""Il Parco nazionale del Gran Paradiso (in francese Parc national du Grand-Paradis) è il parco nazionale più vecchio d'Italia, istituito il 3 dicembre del 1922, situato a cavallo delle regioni Valle d'Aosta e Piemonte, attorno al massiccio del Gran Paradiso, gestito dall'Ente Parco Nazionale Gran Paradiso, con sede a Torino. Esteso per una superficie di 71.043,79 ettari, su un terreno prevalentemente montuoso, dal lato francese confina con il Parco nazionale della Vanoise.""]","Gran Paradiso, Via Val della Torre, Madonna di Campagna, Circoscrizione 5, Torino, Piemonte, 10149, Italia","{""coordinates"": [7.658099, 45.092788], ""type"": ""Point""}","Gran Paradiso, Via Val della Torre, Madonna di Campagna, Circoscrizione 5, Torino, Piemonte, 10149, Italia",building,apartments
